2025-09-17 00:10:56.796 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: lru_cache -> <class 'datastructure_factory.hash.lru_cache.LRUCache'>
2025-09-17 00:10:56.797 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: bst -> <class 'datastructure_factory.trees.bst.BST'>
2025-09-17 00:10:56.797 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: avl -> <class 'datastructure_factory.trees.avl.AVL'>
2025-09-17 00:10:56.798 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: min_heap -> <class 'datastructure_factory.heap.binary_heap.MinHeap'>
2025-09-17 00:10:56.798 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: dsu -> <class 'datastructure_factory.dsu.disjoint_set.DisjointSet'>
2025-09-17 00:10:56.799 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: graph -> <class 'datastructure_factory.graph.graph.Graph'>
2025-09-17 00:10:56.799 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: dijkstra -> <function dijkstra at 0x1047cbce0>
2025-09-17 00:10:56.799 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kruskal -> <function kruskal at 0x1047cbf60>
2025-09-17 00:10:56.800 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: quicksort -> <function quicksort at 0x1047ec0e0>
2025-09-17 00:10:56.800 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: mergesort -> <function mergesort at 0x1047ec180>
2025-09-17 00:10:56.800 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: heapsort -> <function heapsort at 0x1047ec220>
2025-09-17 00:10:56.800 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: counting_sort -> <function counting_sort at 0x1047ec360>
2025-09-17 00:10:56.800 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: radix_sort -> <function radix_sort at 0x1047ec400>
2025-09-17 00:10:56.801 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kmp_search -> <function kmp_search at 0x1047ec540>
2025-09-17 00:10:57.213 | INFO     | __main__:demo_hashmap:27 - HashMap 状态：size=2599 命中=791 未命中=2209
2025-09-17 00:11:04.299 | DEBUG    | datastructure_factory.logging_config:setup_logging:33 - Logging initialized. File: data/logs/ds_factory.log
2025-09-17 00:11:04.300 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: array_list -> <class 'datastructure_factory.linear.array_list.DynamicArray'>
2025-09-17 00:11:04.301 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: singly_linked_list -> <class 'datastructure_factory.linear.linked_list.SinglyLinkedList'>
2025-09-17 00:11:04.301 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: deque_list -> <class 'datastructure_factory.linear.linked_list.DequeList'>
2025-09-17 00:11:04.302 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: stack -> <class 'datastructure_factory.linear.stack_queue.Stack'>
2025-09-17 00:11:04.302 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: queue -> <class 'datastructure_factory.linear.stack_queue.Queue'>
2025-09-17 00:11:04.302 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: hash_map -> <class 'datastructure_factory.hash.hashmap.HashMap'>
2025-09-17 00:11:04.303 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: lru_cache -> <class 'datastructure_factory.hash.lru_cache.LRUCache'>
2025-09-17 00:11:04.303 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: bst -> <class 'datastructure_factory.trees.bst.BST'>
2025-09-17 00:11:04.303 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: avl -> <class 'datastructure_factory.trees.avl.AVL'>
2025-09-17 00:11:04.304 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: min_heap -> <class 'datastructure_factory.heap.binary_heap.MinHeap'>
2025-09-17 00:11:04.304 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: dsu -> <class 'datastructure_factory.dsu.disjoint_set.DisjointSet'>
2025-09-17 00:11:04.305 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ADT: graph -> <class 'datastructure_factory.graph.graph.Graph'>
2025-09-17 00:11:04.305 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: dijkstra -> <function dijkstra at 0x103af3ce0>
2025-09-17 00:11:04.305 | DEBUG    | datastructure_factory.factory.registry:register:17 - Registered ALGO: kruskal -> <function kruskal at 0x103af3f60>
